,YEAR,STATE,total energy generation,clean energy generation,clean_energy_percent
311,1996,CO,74274720.0,3466720.0,0.04667429241066139
312,1996,CT,40422796.0,5398358.0,0.13354736767837633
314,1996,DE,17708898.0,,
315,1996,FL,334169872.0,7293446.0,0.021825564214837417
316,1996,GA,208640082.0,10181666.0,0.04880014378061834
317,1996,HI,21255788.0,1920620.0,0.0903575063883776
318,1996,IA,69377230.0,2008402.0,0.028949008197646404
319,1996,ID,28179616.0,26573862.0,0.9430171795101822
320,1996,IL,295466058.0,1130006.0,0.003824486669125291
321,1996,IN,219804204.0,1105020.0,0.005027292380631628
322,1996,KS,79884312.0,21938.0,0.00027462213106373124
323,1996,KY,176894992.0,6993978.0,0.0395374562101792
324,1996,LA,155479792.0,2119926.0,0.013634736532191914
325,1996,MA,75908040.0,4929248.0,0.06493710020704
326,1996,MD,92549234.0,6046602.0,0.06533389568626792
327,1996,ME,29868746.0,9437686.0,0.3159719527562356
328,1996,MI,225036618.0,3741486.0,0.016626120820923466
329,1996,MN,88656878.0,3869474.0,0.043645502608381945
330,1996,MO,136245056.0,2549054.0,0.018709332102296614
331,1996,MS,62554564.0,3838.0,6.135443610477406e-05
332,1996,MT,53674850.0,27589862.0,0.514018427624856
333,1996,NC,224395482.0,12696980.0,0.05658304653388699
334,1996,ND,61816980.0,6317504.0,0.10219690447511347
335,1996,NE,54702218.0,3226906.0,0.058990405105694255
336,1996,NH,34127298.0,4201204.0,0.12310391522938617
337,1996,NJ,75433166.0,1836070.0,0.02434035448015002
338,1996,NM,60322580.0,442746.0,0.0073396396506913335
339,1996,NV,51160816.0,7438300.0,0.14539056609261275
340,1996,NY,271464498.0,59899498.0,0.22065315516874698
341,1996,OH,288874428.0,806366.0,0.002791406652304994
342,1996,OK,103699240.0,4159938.0,0.040115414539200096
343,1996,OR,102023548.0,89939944.0,0.8815606373540351
344,1996,PA,383745246.0,7677546.0,0.020006882378420396
345,1996,RI,15440072.0,209216.0,0.013550195879915586
346,1996,SC,157537104.0,4727832.0,0.03001091095339673
347,1996,SD,20132548.0,15955340.0,0.7925146881557168
348,1996,TN,184244736.0,21697106.0,0.11776242008889741
349,1996,TX,657897866.0,2250812.0,0.0034212179675925563
350,1996,UT,65903722.0,2481738.0,0.03765702337722291
351,1996,VA,133790254.0,2999774.0,0.02242146875661063
352,1996,VT,10700238.0,2462768.0,0.2301601141955908
353,1996,WA,237316264.0,197370448.0,0.8316768715017357
354,1996,WI,108835474.0,5902070.0,0.05422928557282711
355,1996,WV,174488776.0,2850070.0,0.016333829976548177
